task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run4,hour,2025,cal+FC,lgbm,month,52603,8759,38,13.917,0.7935097001992808,0.9800643641196972,0.02669493921743754,0.11320095261980184,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1)+FC,logit,month,51842,8759,55,4.425,0.8095435740906536,0.9845777703440608,0.023304232105206293,0.07679735314141618,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1)+FC,lgbm,month,51842,8759,55,18.102,0.839833378248143,0.9861170651123328,0.02226542353313014,0.10082339370795206,0.05913917113825779
y_run6,hour,2021,cal,logit,month,17545,8760,7,0.198,0.03981141023154495,0.8257373271889401,0.009378490074217538,0.047907100101590154,0.0091324200913242
y_run6,hour,2021,cal,lgbm,month,17545,8760,7,3.753,0.038981727917707806,0.8642252304147464,0.010537188054618778,0.07259124522960858,0.0091324200913242
y_run6,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.29,0.05411382200604388,0.866307603686636,0.009413274669509888,0.046766839577701114,0.0091324200913242
y_run6,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,5.164,0.04754293576567007,0.8034173387096775,0.009220426196220136,0.10715915070771677,0.0091324200913242
y_run6,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.645,0.10284127360621431,0.9242785138248848,0.009648050026049322,0.04332222700439852,0.0091324200913242
y_run6,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,6.643,0.1682535898569388,0.9195881336405529,0.00894566828339554,0.1041068139706604,0.0091324200913242
y_run6,hour,2021,cal+FC,logit,month,17539,8760,38,1.044,0.653427421207977,0.9956163594470046,0.0056262691313949354,0.017996080992190636,0.0091324200913242
y_run6,hour,2021,cal+FC,lgbm,month,17539,8760,38,6.454,0.5475787654966491,0.9956494815668203,0.007856842286789723,0.05442918956464,0.0091324200913242
y_run6,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.626,0.5713890126522879,0.9936405529953917,0.007000124861787098,0.023588097629220473,0.0091324200913242
y_run6,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,8.238,0.5844422113040086,0.9947753456221198,0.0070970007871697235,0.050392897587841205,0.0091324200913242
y_run6,hour,2022,cal,logit,month,26305,8760,7,0.208,0.010905566580130241,0.6846872323793923,0.0054695847055627215,0.03606140150782586,0.004908675799086758
y_run6,hour,2022,cal,lgbm,month,26305,8760,7,4.223,0.01071541453014318,0.6638004860857293,0.00565208931944812,0.05328736566269257,0.004908675799086758
y_run6,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.482,0.049595019005032576,0.9105116705928805,0.005144223213229645,0.027448754531950215,0.004908675799086758
y_run6,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,6.067,0.034960632566192806,0.7875362496698513,0.004926926944233383,0.05872152477948209,0.004908675799086758
y_run6,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,0.846,0.06818991033095041,0.9569566017752,0.005577281403562286,0.025196522206860472,0.004908675799086758
