task,model,features,test_year,PR_AUC,ROC_AUC,Brier,base_rate
y_run4,lgbm,cal+AR+FC,2022,0.6508475119179221,0.9951570881226053,0.005456445265719319,0.00684931506849315
y_run4,logit,cal+FC,2022,0.5014235749663417,0.9945306513409962,0.00805008990482584,0.00684931506849315
y_run4,lgbm,cal+FC,2022,0.5062202003897514,0.9934329501915709,0.011421652419368067,0.00684931506849315
y_run4,climatology,-,2023,0.05489532924186136,0.6842213430261895,0.02856186224135304,0.0295662100456621
y_run4,persistence(D-2),-,2023,0.040259377900831145,0.5506872005519223,0.05576312785388127,0.0295662100456621
y_run4,logit,cal,2023,0.06061919258828339,0.7047937580816066,0.028671608309055904,0.0295662100456621
y_run4,lgbm,cal,2023,0.11455642122505869,0.7946285220135355,0.03091260871894941,0.0295662100456621
y_run4,logit,cal+AR,2023,0.14554423630355393,0.8233003702948416,0.02803456057377586,0.0295662100456621
y_run4,lgbm,cal+AR,2023,0.2288969044123848,0.8082049397776959,0.027474409341235986,0.0295662100456621
y_run4,logit,cal+AR+FC,2023,0.7613750656788597,0.9878365434182397,0.01770061221967952,0.0295662100456621
y_run4,lgbm,cal+AR+FC,2023,0.8064131613624577,0.990448545912609,0.01777508127430609,0.0295662100456621
y_run4,logit,cal+FC,2023,0.7463117948369957,0.9873591978050277,0.01874375714073997,0.0295662100456621
y_run4,lgbm,cal+FC,2023,0.7843342117554783,0.9892168034739498,0.024545133979398174,0.0295662100456621
y_run4,climatology,-,2024,0.12758590796682864,0.7842590536967315,0.04146239845102186,0.044285063752276865
y_run4,persistence(D-2),-,2024,0.06315274269223345,0.5655203933054779,0.07702670765027322,0.044285063752276865
y_run4,logit,cal,2024,0.1396742462928637,0.739206989103258,0.04125857041424895,0.044285063752276865
y_run4,lgbm,cal,2024,0.1672273405538699,0.7844193584441713,0.042633083173698516,0.044285063752276865
y_run4,logit,cal+AR,2024,0.2609609159046373,0.818825932316794,0.03877938495430811,0.044285063752276865
y_run4,lgbm,cal+AR,2024,0.2672407363959275,0.789862523750978,0.04023811975470998,0.044285063752276865
y_run4,logit,cal+AR+FC,2024,0.6763000650439916,0.978069943089518,0.026027290581064812,0.044285063752276865
