task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run4,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,1.487,0.11818693804091393,0.9636819923371647,0.008443381084042398,0.03202806882674576,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,8.845,0.11297679495192865,0.9556034482758621,0.007358177902608985,0.07361151999136437,0.00684931506849315
y_run4,hour,2022,cal+FC,logit,month,26299,8760,38,1.413,0.3919640035806681,0.9918141762452107,0.007478349470722202,0.025679466079557643,0.00684931506849315
y_run4,hour,2022,cal+FC,lgbm,month,26299,8760,38,9.361,0.4966475283169875,0.9928927203065134,0.008548693430866089,0.059304210379160824,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,2.421,0.5267534178101784,0.9960574712643678,0.004620767110171391,0.015324542924015225,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,12.506,0.7931054038221618,0.9974980842911877,0.003619811126379568,0.019494492556331997,0.00684931506849315
y_run4,hour,2023,cal,logit,month,35065,8760,7,0.288,0.0630218142959627,0.70405798273108,0.028604077886948773,0.14076667739861215,0.0295662100456621
y_run4,hour,2023,cal,lgbm,month,35065,8760,7,7.236,0.07922235926930407,0.7461831653691435,0.032777813819450115,0.34117638774905384,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),logit,month,34298,8760,14,0.705,0.12414071677886389,0.8073903637954927,0.02801815699116269,0.1239194975238462,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),lgbm,month,34298,8760,14,7.546,0.202786187563738,0.8291688599887634,0.028396218809175026,0.30659049210928185,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),logit,month,34298,8760,24,1.421,0.17043414284247554,0.8128305595662377,0.029245479292983784,0.1530050831338531,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),lgbm,month,34298,8760,24,8.927,0.34253561952041384,0.8727944339048914,0.025618289698179326,0.26766805054618514,0.0295662100456621
y_run4,hour,2023,cal+FC,logit,month,35059,8760,38,1.303,0.8058795963682766,0.9885400718243913,0.015705750022031693,0.053008039338666726,0.0295662100456621
y_run4,hour,2023,cal+FC,lgbm,month,35059,8760,38,8.587,0.7649811015313837,0.9880949731555543,0.015436646867799334,0.10745750776983823,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,logit,month,34298,8760,55,1.879,0.7677908779523879,0.9871093975317008,0.017747590789399997,0.06549406594583784,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,lgbm,month,34298,8760,55,8.969,0.8323932483640144,0.9912710700853272,0.014321867563413915,0.0859948744596302,0.0295662100456621
y_run4,hour,2024,cal,logit,month,43825,8784,7,0.257,0.20953787632591214,0.797092160684457,0.03975322420155254,0.15938932081655036,0.044285063752276865
y_run4,hour,2024,cal,lgbm,month,43825,8784,7,5.723,0.15201864124405012,0.8008453128086097,0.0483297131097429,0.31983614448889114,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),logit,month,43058,8784,14,0.603,0.23429674221519808,0.8382327588186749,0.03782106978631127,0.145095188414722,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),lgbm,month,43058,8784,14,6.737,0.22064950441132292,0.826244352204994,0.0425251507336856,0.3101459073324559,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),logit,month,43058,8784,24,0.938,0.40300391679963754,0.8949099032200277,0.03319667910557451,0.12495308670747554,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),lgbm,month,43058,8784,24,8.912,0.33572706254420914,0.8681354888988579,0.0393506160846796,0.26939813002237634,0.044285063752276865
y_run4,hour,2024,cal+FC,logit,month,43819,8784,38,2.086,0.7271069887693666,0.9791242491935003,0.02262864218015354,0.07723867914415898,0.044285063752276865
y_run4,hour,2024,cal+FC,lgbm,month,43819,8784,38,13.458,0.712174138703785,0.9710018357726091,0.026672315291055144,0.22092373202318535,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,logit,month,43058,8784,55,3.021,0.7511384032929597,0.9804317969901902,0.021844335214288465,0.07571926771829195,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,lgbm,month,43058,8784,55,17.708,0.7440182906718774,0.9797657744005415,0.024575768467550028,0.18248143418030274,0.044285063752276865
y_run4,hour,2025,cal,logit,month,52609,8759,7,0.352,0.3799191210338751,0.8818978373037347,0.04567574774753511,0.1632722400337539,0.05913917113825779
y_run4,hour,2025,cal,lgbm,month,52609,8759,7,6.844,0.3325133578118005,0.8596834782673879,0.050868425207046916,0.25229378672595776,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.532,0.4885513215985057,0.9100916923996648,0.0401073874587368,0.14367481792947737,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,9.665,0.41442460205050474,0.8811278385359201,0.04676523236961113,0.2542560322834662,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,0.952,0.5926381638295024,0.9506074018269141,0.034557649214990625,0.11837370871223275,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,10.382,0.5430521942208976,0.9317359899813485,0.042592032169170735,0.22366856802857754,0.05913917113825779
y_run4,hour,2025,cal+FC,logit,month,52603,8759,38,2.092,0.7860672413485088,0.9840912210770238,0.023184930993740593,0.07669744251530478,0.05913917113825779
