task,level,test_year,features,model,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run4,hour,2022,cal+AR(D-1)+FC,logit,25538,8760,55,0.44,0.6762976669790975,0.9966168582375479,0.003910128336646703,0.012619963399863973,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1)+FC,lgbm,25538,8760,55,2.233,0.7337157430802637,0.9963352490421457,0.004004873740078998,0.020410560153105134,0.00684931506849315
y_run4,hour,2023,cal,logit,35065,8760,7,0.048,0.06061919258828339,0.7047937580816066,0.028671608309055904,0.13672405653318476,0.0295662100456621
y_run4,hour,2023,cal,lgbm,35065,8760,7,0.746,0.11455642122505869,0.7946285220135355,0.03091260871894941,0.19946125477743157,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),logit,34298,8760,14,0.12,0.14554423630355393,0.8233003702948416,0.02803456057377586,0.13380275289194932,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),lgbm,34298,8760,14,1.313,0.2288969044123848,0.8082049397776959,0.027474409341235986,0.24024973605196911,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),logit,34298,8760,24,0.234,0.2126963400344115,0.8616101943945728,0.02827281144688097,0.1564370377890657,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),lgbm,34298,8760,24,1.71,0.276862675547341,0.8876371119636618,0.027111627507105836,0.2397062098217772,0.0295662100456621
y_run4,hour,2023,cal+FC,logit,35059,8760,38,0.296,0.7463117948369957,0.9873591978050277,0.01874375714073997,0.0623772253618589,0.0295662100456621
y_run4,hour,2023,cal+FC,lgbm,35059,8760,38,2.02,0.7843342117554783,0.9892168034739498,0.024545133979398174,0.1212789088929611,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,logit,34298,8760,55,0.466,0.7783507546113405,0.9884760321179566,0.016837346533056467,0.058348761485910575,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,lgbm,34298,8760,55,2.555,0.8452341690154577,0.9926458799532556,0.015249470416746685,0.09295126378705433,0.0295662100456621
y_run4,hour,2024,cal,logit,43825,8784,7,0.072,0.1396742462928637,0.739206989103258,0.04125857041424895,0.1793940497010178,0.044285063752276865
y_run4,hour,2024,cal,lgbm,43825,8784,7,1.07,0.1672273405538699,0.7844193584441713,0.042633083173698516,0.2430592772397299,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),logit,43058,8784,14,0.139,0.2609609159046373,0.818825932316794,0.03877938495430811,0.16184791303278834,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),lgbm,43058,8784,14,1.482,0.2672407363959275,0.789862523750978,0.04023811975470998,0.2649358586728586,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),logit,43058,8784,24,0.303,0.42140848998388075,0.8854940279974461,0.03340662436898234,0.13372475302857473,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),lgbm,43058,8784,24,3.516,0.41726809011376065,0.8916594067652586,0.03622786532944566,0.2086008271084071,0.044285063752276865
y_run4,hour,2024,cal+FC,logit,43819,8784,38,0.336,0.5872153369010723,0.973631629795554,0.02876053440022882,0.09400947199183787,0.044285063752276865
y_run4,hour,2024,cal+FC,lgbm,43819,8784,38,2.09,0.5771117375124255,0.9661746265297468,0.03213181204024456,0.18442009782886035,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,logit,43058,8784,55,0.543,0.6817269795111696,0.9789515426461154,0.025974247985857696,0.08446223980015795,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,lgbm,43058,8784,55,2.779,0.6689109698760416,0.9781281243732115,0.027304125847496766,0.1668406590816597,0.044285063752276865
y_run4,hour,2025,cal,logit,52609,8759,7,0.073,0.33176148155911933,0.7986283386720228,0.05274996181790575,0.20728191361556741,0.05913917113825779
y_run4,hour,2025,cal,lgbm,52609,8759,7,1.108,0.1989882312243553,0.845084774826311,0.06345973045053824,0.2807355274353424,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),logit,51842,8759,14,0.155,0.553974184936769,0.9078737586200273,0.03879748555589334,0.143266304512594,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),lgbm,51842,8759,14,1.582,0.43901396404445225,0.8911893587903781,0.04676198287610967,0.23398769374356548,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),logit,51842,8759,24,0.335,0.653640790046808,0.9537136335461782,0.03252055583643283,0.11222267208731175,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),lgbm,51842,8759,24,1.829,0.5896673452946417,0.9483662767244857,0.04224786438018693,0.18882209811449469,0.05913917113825779
y_run4,hour,2025,cal+FC,logit,52603,8759,38,0.384,0.7900501139387396,0.9822502048566846,0.024755778319703894,0.07838491245301779,0.05913917113825779
y_run4,hour,2025,cal+FC,lgbm,52603,8759,38,2.268,0.762058022581495,0.9784597119871965,0.0310393849775748,0.1365230754306118,0.05913917113825779
