variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A2,43,2025,0.7694328866192197,0.7891050023292782,0.9770507878800223,0.043894473877398386,0.06576093286275864,0.0,0.0,17,0.9573854804039001,15.91642770020909,0.3760262770958319,
A2,44,2025,0.8016740607594425,0.8205664112318195,0.9821129424823822,0.06158370775126487,0.06576093286275864,0.0,0.0,15,0.7736856937408447,2.70138488147674,-0.5412679376788411,
A3,42,2021,0.839584283727998,0.7688863812936181,0.9890621779342562,0.021333226905679074,0.015867579728364944,0.810316264629364,0.18471044301986694,15,,,,0.08090104999577039
A3,43,2021,0.7930578002962715,0.7678368087228515,0.987752843775322,0.017625772602891686,0.015867579728364944,0.6350944638252258,0.17295612394809723,19,,,,0.08241250814830645
A3,44,2021,0.8292482562600966,0.6874539420810564,0.9832857527920361,0.04166258392631305,0.015867579728364944,0.33754730224609375,0.10419883579015732,10,,,,0.1750478995451438
A3,42,2022,0.8463312349369001,0.6703205671927459,0.9950690448791715,0.01993620772795923,0.007990867830812931,0.9885733127593994,0.04444771632552147,13,,,,-0.10603674092774736
A3,43,2022,0.849867695982267,0.5798412351308484,0.9945438106197599,0.02274721460333327,0.007990867830812931,0.9194336533546448,0.12711456418037415,14,,,,-0.13130460581599623
A3,44,2022,0.8373231102588422,0.6038466580214521,0.9928916652967286,0.023779118031580487,0.007990867830812931,0.7342252135276794,0.21889452636241913,11,,,,-0.04414130821497205
A3,42,2023,0.7835951036754548,0.753016852265548,0.9857572892040977,0.05899129821229171,0.034246575087308884,0.6849504113197327,0.15488478541374207,18,,,,0.20827968679872144
A3,43,2023,0.8307125212853425,0.779622034858185,0.9863451536643026,0.07733856104249472,0.034246575087308884,0.5864771008491516,0.13484901189804077,23,,,,0.279374810067095
A3,44,2023,0.7633820919964265,0.7591777249333037,0.9841670606776989,0.061877043100681206,0.034246575087308884,0.5809338688850403,0.14857323467731476,21,,,,0.17466513764228894
